"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R11,R12,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"470";;;
2;"D4,D6,D5";"LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"LED";;;
3;"C10";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"0.22uF";;;
4;"C1,C6,C8";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"100nF";;;
5;"R9,R4,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
6;"J4";"CONN4_500000G_AMP";1;"Conn_01x04_Pin";;;
7;"C3,C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"47pF";;;
8;"D3";"D_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"D";;;
9;"C2,C11";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
10;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"4.7nF";;;
11;"R8,R5,R7,R6";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"0";;;
12;"R2,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"60";;;
13;"U1";"VDFN10_4BW_2p3x1p7EP_MCH";1;"ATA6503T-4BWVAO";;;
14;"U2";"TO263-3LD_MCH";1;"MIC2940A-3.3WU";;;
15;"C9";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
16;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"3.3k";;;
17;"J3";"DB9";1;"DE9_Plug_MountingHoles";;;
18;"SW1";"SW_Push_1P1T_NO_6x6mm_H9.5mm";1;"SW_Push";;;
19;"C7";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"2.2uF";;;
20;"J1,J2";"PinHeader_1x08_P2.54mm_Vertical";2;"Conn_01x08_Pin";;;
